game,winner,victoryType,gameLength,nypd_corruption,nypd_trust,total_territories,playerCount,timestamp
Gangsters,Polish Gang,Economic Victory,7,4,12,28,5,2025-06-15T03:57:46.000Z
Gangsters,Polish Gang,Economic Victory,9,12,11,23,5,2025-06-15T03:57:46.001Z
Gangsters,Italian Famiglia,Economic Victory,7,11,12,21,5,2025-06-15T03:57:46.001Z
Gangsters,Jewish Syndicate,Economic Victory,8,11,12,28,5,2025-06-15T03:57:46.001Z
Gangsters,Irish Mob,Economic Victory,6,2,14,26,5,2025-06-15T03:57:46.001Z
Gangsters,Jewish Syndicate,Economic Victory,8,8,13,25,5,2025-06-15T03:57:46.001Z
Gangsters,Italian Famiglia,Economic Victory,7,7,14,22,5,2025-06-15T03:57:46.002Z
Gangsters,Italian Famiglia,Economic Victory,7,7,13,25,5,2025-06-15T03:57:46.002Z
Gangsters,Italian Famiglia,Economic Victory,7,6,14,23,5,2025-06-15T03:57:46.002Z
Gangsters,Jewish Syndicate,Economic Victory,6,4,14,22,5,2025-06-15T03:57:46.002Z
Gangsters,Jewish Syndicate,Economic Victory,8,11,12,23,5,2025-06-15T03:57:46.002Z
Gangsters,Polish Gang,Economic Victory,8,8,13,19,5,2025-06-15T03:57:46.002Z
Gangsters,Irish Mob,Economic Victory,8,9,13,24,5,2025-06-15T03:57:46.002Z
Gangsters,Irish Mob,Economic Victory,7,10,12,27,5,2025-06-15T03:57:46.002Z
Gangsters,Irish Mob,Economic Victory,7,10,12,28,5,2025-06-15T03:57:46.002Z
Gangsters,Polish Gang,Economic Victory,8,4,15,27,5,2025-06-15T03:57:46.002Z
Gangsters,Irish Mob,Economic Victory,7,7,11,27,5,2025-06-15T03:57:46.002Z
Gangsters,Italian Famiglia,Economic Victory,8,17,12,25,5,2025-06-15T03:57:46.002Z
Gangsters,Italian Famiglia,Economic Victory,7,4,15,28,5,2025-06-15T03:57:46.002Z
Gangsters,Jewish Syndicate,Economic Victory,9,18,11,30,5,2025-06-15T03:57:46.002Z
Gangsters,Jewish Syndicate,Economic Victory,9,15,12,26,5,2025-06-15T03:57:46.002Z
Gangsters,Irish Mob,Economic Victory,10,17,13,21,5,2025-06-15T03:57:46.002Z
Gangsters,Irish Mob,Economic Victory,7,11,12,22,5,2025-06-15T03:57:46.002Z
Gangsters,Jewish Syndicate,Economic Victory,8,12,13,27,5,2025-06-15T03:57:46.002Z
Gangsters,Jewish Syndicate,Economic Victory,7,5,12,32,5,2025-06-15T03:57:46.002Z
Gangsters,Irish Mob,Economic Victory,8,8,14,24,5,2025-06-15T03:57:46.002Z
Gangsters,Polish Gang,Economic Victory,8,6,13,23,5,2025-06-15T03:57:46.002Z
Gangsters,Polish Gang,Economic Victory,6,5,13,22,5,2025-06-15T03:57:46.002Z
Gangsters,Irish Mob,Economic Victory,7,7,12,22,5,2025-06-15T03:57:46.002Z
Gangsters,Irish Mob,Economic Victory,8,6,14,30,5,2025-06-15T03:57:46.002Z
Gangsters,Irish Mob,Economic Victory,9,16,11,22,5,2025-06-15T03:57:46.002Z
Gangsters,Polish Gang,Economic Victory,7,8,11,26,5,2025-06-15T03:57:46.002Z
Gangsters,Irish Mob,Economic Victory,8,6,13,27,5,2025-06-15T03:57:46.002Z
Gangsters,Italian Famiglia,Economic Victory,9,12,15,21,5,2025-06-15T03:57:46.002Z
Gangsters,Irish Mob,Economic Victory,7,4,15,23,5,2025-06-15T03:57:46.002Z
Gangsters,Italian Famiglia,Economic Victory,8,10,12,24,5,2025-06-15T03:57:46.002Z
Gangsters,Irish Mob,Economic Victory,8,10,10,25,5,2025-06-15T03:57:46.002Z
Gangsters,Jewish Syndicate,Economic Victory,9,13,11,25,5,2025-06-15T03:57:46.002Z
Gangsters,Italian Famiglia,Economic Victory,6,7,12,22,5,2025-06-15T03:57:46.002Z
Gangsters,Jewish Syndicate,Economic Victory,7,6,14,27,5,2025-06-15T03:57:46.003Z
Gangsters,Italian Famiglia,Economic Victory,8,14,12,26,5,2025-06-15T03:57:46.003Z
Gangsters,Polish Gang,Economic Victory,7,3,14,26,5,2025-06-15T03:57:46.003Z
Gangsters,Jewish Syndicate,Economic Victory,8,10,12,25,5,2025-06-15T03:57:46.003Z
Gangsters,Polish Gang,Economic Victory,7,9,13,26,5,2025-06-15T03:57:46.003Z
Gangsters,Polish Gang,Economic Victory,8,15,11,27,5,2025-06-15T03:57:46.003Z
Gangsters,Italian Famiglia,Economic Victory,8,12,11,27,5,2025-06-15T03:57:46.003Z
Gangsters,Italian Famiglia,Economic Victory,6,7,11,23,5,2025-06-15T03:57:46.003Z
Gangsters,Polish Gang,Economic Victory,6,10,11,22,5,2025-06-15T03:57:46.003Z
Gangsters,Irish Mob,Economic Victory,9,15,12,21,5,2025-06-15T03:57:46.003Z
Gangsters,Italian Famiglia,Economic Victory,8,11,14,25,5,2025-06-15T03:57:46.003Z
