game,winner,victoryType,gameLength,total_respect,total_heat,lapd_active,playerCount,timestamp
LA Gang Wars,Crips,Time Victory,25,59,56,true,4,2025-06-15T03:57:31.837Z
LA Gang Wars,LAPD,Time Victory,25,53,26,true,4,2025-06-15T03:57:31.838Z
LA Gang Wars,Bloods,Time Victory,25,72,61,true,4,2025-06-15T03:57:31.838Z
LA Gang Wars,Crips,Time Victory,25,59,47,true,4,2025-06-15T03:57:31.838Z
LA Gang Wars,Mexican Mafia,Time Victory,25,69,51,true,4,2025-06-15T03:57:31.838Z
LA Gang Wars,Crips,Time Victory,25,58,61,true,4,2025-06-15T03:57:31.838Z
LA Gang Wars,Mexican Mafia,Territorial Control,23,66,45,true,4,2025-06-15T03:57:31.838Z
LA Gang Wars,Bloods,Time Victory,25,63,51,true,4,2025-06-15T03:57:31.838Z
LA Gang Wars,Crips,Time Victory,25,73,60,true,4,2025-06-15T03:57:31.839Z
LA Gang Wars,Crips,Time Victory,25,69,48,true,4,2025-06-15T03:57:31.839Z
LA Gang Wars,Mexican Mafia,Time Victory,25,63,51,true,4,2025-06-15T03:57:31.840Z
LA Gang Wars,Bloods,Time Victory,25,63,49,true,4,2025-06-15T03:57:31.840Z
LA Gang Wars,Mexican Mafia,Territorial Control,14,46,22,true,4,2025-06-15T03:57:31.840Z
LA Gang Wars,Mexican Mafia,Territorial Control,20,58,40,true,4,2025-06-15T03:57:31.840Z
LA Gang Wars,Mexican Mafia,Territorial Control,15,46,35,true,4,2025-06-15T03:57:31.840Z
LA Gang Wars,Crips,Time Victory,25,72,66,true,4,2025-06-15T03:57:31.840Z
LA Gang Wars,Mexican Mafia,Time Victory,25,63,38,true,4,2025-06-15T03:57:31.840Z
LA Gang Wars,Bloods,Time Victory,25,73,69,true,4,2025-06-15T03:57:31.840Z
LA Gang Wars,Mexican Mafia,Territorial Control,13,41,26,true,4,2025-06-15T03:57:31.840Z
LA Gang Wars,Mexican Mafia,Time Victory,25,71,50,true,4,2025-06-15T03:57:31.840Z
LA Gang Wars,Mexican Mafia,Time Victory,25,73,63,true,4,2025-06-15T03:57:31.840Z
